run_idx,problem_id,is_correct,n_knots,chars_removed,orig_len,orig_traj_reflection,deknot_traj_reflection,orig_traj_continuity,deknot_traj_continuity
35,livecodebench_v5-64,1,10,1000,55187,-244.0,-204.0,0.16252458892744262,0.16134979612732964
45,livecodebench_v5-138,1,10,1000,40819,-79.0,-77.0,0.1687805001248027,0.1681874381139471
3,livecodebench_v5-104,1,0,0,47134,-90.0,-90.0,0.16790282324445158,0.16790282324445158
39,livecodebench_v5-72,1,9,2250,28966,-18.0,-18.0,0.14092860487179112,0.13760984117319916
60,livecodebench_v5-67,1,9,2250,42711,-62.0,-58.0,0.15437123237004188,0.14817401243217074
17,livecodebench_v5-117,1,5,260,39811,-86.0,-85.0,0.14646581890965185,0.14543858159474224
41,livecodebench_v5-20,1,0,0,40942,-183.0,-183.0,0.16132940171674795,0.16132940171674795
64,livecodebench_v5-42,1,5,500,91463,-377.0,-352.0,0.16161790818629515,0.16154835286670455
53,livecodebench_v5-21,1,0,0,18768,-14.0,-14.0,0.1444168369509481,0.1444168369509481
30,livecodebench_v5-108,1,10,1000,47706,-191.0,-176.0,0.15798514711471492,0.15782588091997024
32,livecodebench_v5-23,1,0,0,26278,-24.0,-24.0,0.13643285526718552,0.13643285526718552
56,livecodebench_v5-77,1,6,309,59438,-119.0,-121.0,0.16328953855478134,0.1614849759273369
40,livecodebench_v5-63,1,21,1155,30791,-45.0,-50.0,0.16200338748776227,0.1660843838474075
10,livecodebench_v5-123,1,23,1150,26669,-55.0,-49.0,0.16354645989831373,0.16425048948315954
55,livecodebench_v5-50,1,11,1100,28816,-27.0,-16.0,0.14590831147514902,0.13761822283076006
61,livecodebench_v5-105,1,0,0,26349,-34.0,-34.0,0.1414560933162757,0.1414560933162757
62,livecodebench_v5-124,1,0,0,21723,-27.0,-27.0,0.13170357391661486,0.13170357391661486
20,livecodebench_v5-25,1,0,0,33841,-25.0,-25.0,0.1296495549158382,0.1296495549158382
42,livecodebench_v5-130,1,0,0,57051,-213.0,-213.0,0.16997785862135864,0.16997785862135864
16,livecodebench_v5-162,1,0,0,38638,-45.0,-45.0,0.136877989210827,0.136877989210827
