variant,n_runs,n_problems,mean_runs_per_problem,auc_oof,bestof4_pass1_oof,random_pass1,lift_vs_random,n_features,domain,delta_auc_vs_base,delta_bestof4_vs_base
base_only,246,64,3.84375,0.7390583554376657,0.765625,0.53515625,0.23046875,44,math,0.0,0.0
base_plus_knot_bin,246,64,3.84375,0.7734084880636604,0.78125,0.53515625,0.24609375,45,math,0.03435013262599462,0.015625
base_plus_knot_severity,246,64,3.84375,0.7773872679045093,0.796875,0.53515625,0.26171875,45,math,0.03832891246684356,0.03125
base_plus_knot_rich,246,64,3.84375,0.7743368700265252,0.78125,0.53515625,0.24609375,47,math,0.035278514588859444,0.015625
base_only,250,64,3.90625,0.5680814288457845,0.625,0.5078125,0.1171875,44,science,0.0,0.0
base_plus_knot_bin,250,64,3.90625,0.5662249535881185,0.609375,0.5078125,0.1015625,45,science,-0.0018564752576659682,-0.015625
base_plus_knot_severity,250,64,3.90625,0.5662249535881185,0.609375,0.5078125,0.1015625,45,science,-0.0018564752576659682,-0.015625
base_plus_knot_rich,250,64,3.90625,0.5653927405415786,0.625,0.5078125,0.1171875,47,science,-0.0026886883042058773,0.0
base_only,254,64,3.96875,0.45894802365390597,0.484375,0.53125,-0.046875,44,coding,0.0,0.0
base_plus_knot_bin,254,64,3.96875,0.4644880174291938,0.46875,0.53125,-0.0625,45,coding,0.005539993775287855,-0.015625
base_plus_knot_severity,254,64,3.96875,0.4654217242452537,0.484375,0.53125,-0.046875,45,coding,0.00647370059134772,0.0
base_plus_knot_rich,254,64,3.96875,0.4655462184873949,0.484375,0.53125,-0.046875,47,coding,0.006598194833488946,0.0
